Delito,SubDelito,Fecha,Victima,SubVictima,Edad,Sexo,Nacionalidad,Provincia,Canton,Distrito,
ASALTO,ARMA BLANCA,2025-01-01,06:00:00 - 08:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,NICARAGUA,SAN JOSE,SAN JOSE,
ASALTO,ARMA BLANCA,2025-01-01,12:00:00 - 14:59:59,PERSONA,PEATON [PERSONA],Desconocido,HOMBRE,NICARAGUA,SAN JOSE,PEREZ ZELEDON,
ASALTO,ARMA BLANCA,2025-01-01,03:00:00 - 05:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,SAN JOSE,DESAMPARADOS,
ASALTO,ARMA BLANCA,2025-01-03,00:00:00 - 02:59:59,OTROS,BICICLETA/REPARTIDOR/MENSAJERO/COBRADOR [OTROS],Mayor de edad,HOMBRE,COSTA RICA,SAN JOSE,DESAMPARADOS,
ASALTO,ARMA BLANCA,2025-01-01,03:00:00 - 05:59:59,VEHICULO,OTRO O INDETERMINADO [VEHICULO],Mayor de edad,HOMBRE,NICARAGUA,SAN JOSE,SAN JOSE,
ASALTO,ARMA BLANCA,2025-01-02,18:00:00 - 20:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,NICARAGUA,HEREDIA,HEREDIA,
ASALTO,ARMA BLANCA,2025-01-02,21:00:00 - 23:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,SAN JOSE,SAN JOSE,
ASALTO,ARMA BLANCA,2025-01-03,12:00:00 - 14:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,PUNTARENAS,ESPARZA,
ASALTO,ARMA BLANCA,2025-01-04,03:00:00 - 05:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,SAN JOSE,SAN JOSE,
ASALTO,ARMA BLANCA,2025-01-03,18:00:00 - 20:59:59,VEHICULO,SERVICIO PUBLICO/TAXI LEGAL O PIRATA/AUTOBUS [VEHICULO],Mayor de edad,HOMBRE,NICARAGUA,SAN JOSE,SAN JOSE,
ASALTO,ARMA BLANCA,2025-01-04,09:00:00 - 11:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,MUJER,COSTA RICA,SAN JOSE,SAN JOSE,
ASALTO,ARMA BLANCA,2025-01-05,03:00:00 - 05:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,DESCONOCIDO,COSTA RICA,SAN JOSE,SAN JOSE,
ASALTO,ARMA BLANCA,2025-01-05,03:00:00 - 05:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,DESCONOCIDO,COSTA RICA,SAN JOSE,SAN JOSE,
ASALTO,ARMA BLANCA,2025-01-05,03:00:00 - 05:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,DESCONOCIDO,COSTA RICA,SAN JOSE,SAN JOSE,
ASALTO,ARMA BLANCA,2025-01-05,15:00:00 - 17:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,SAN JOSE,DESAMPARADOS,
ASALTO,ARMA BLANCA,2025-01-05,15:00:00 - 17:59:59,PERSONA,PEATON [PERSONA],Menor de edad,HOMBRE,COSTA RICA,HEREDIA,HEREDIA,
ASALTO,ARMA BLANCA,2025-01-05,15:00:00 - 17:59:59,PERSONA,PEATON [PERSONA],Menor de edad,HOMBRE,COSTA RICA,HEREDIA,HEREDIA,
ASALTO,ARMA BLANCA,2025-01-05,21:00:00 - 23:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,PUNTARENAS,BUENOS AIRES,
ASALTO,ARMA BLANCA,2025-01-05,15:00:00 - 17:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,NICARAGUA,PUNTARENAS,ESPARZA,
ASALTO,ARMA BLANCA,2025-01-06,06:00:00 - 08:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,ALAJUELA,SAN CARLOS,
ASALTO,ARMA BLANCA,2025-01-06,00:00:00 - 02:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,NICARAGUA,SAN JOSE,SAN JOSE,
ASALTO,ARMA BLANCA,2025-01-06,00:00:00 - 02:59:59,PERSONA,PEATON [PERSONA],Desconocido,MUJER,NICARAGUA,SAN JOSE,SAN JOSE,
ASALTO,ARMA BLANCA,2025-01-06,12:00:00 - 14:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,MUJER,COSTA RICA,GUANACASTE,SANTA CRUZ,
ASALTO,ARMA BLANCA,2025-01-05,18:00:00 - 20:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,NICARAGUA,PUNTARENAS,CORREDORES,
ASALTO,ARMA BLANCA,2025-01-07,00:00:00 - 02:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,SAN JOSE,PURISCAL,
ASALTO,ARMA BLANCA,2025-01-04,15:00:00 - 17:59:59,PERSONA,PEATON [PERSONA],Menor de edad,MUJER,COSTA RICA,CARTAGO,LA UNION,
